index.html	404	not found	non trouvé	見つかりません	The gateway does not know how to connect to the specified service. Make sure the URL is correct. If so the service might be shutdown due to maintenance or an error.
404.html	404	not found	non trouvé	見つかりません	The page or resource does not seem to exist on this service.
500.html	500	internal server error	erreur interne du serveur	サーバ内部エラー	The gateway was faced with something unexpected.
502.html	502	bad gateway	mauvaise passerelle	不正なゲートウェイ	The gateway received something invalid from the service it was trying to reach.
504.html	504	gateway timeout	dépassement de la durée limite	ゲートウェイタイムアウト	The gateway waited for too long on a service.
503.html	503	service unavailable	service indisponible	無効のサービ	This service is undermaintenance.
potate_migration.html	503	migrating service	migration en cours	セービスを移行しています	We are migrating potate.space to a new server, this shouldn't take too long. 1 or 2 hours tops, we hope.
potate_maintenance.html	503	maintenance in progress	maintenance en cours	セービスを保守しています	A maintenance operation is in progress. We are trying to keep it as short as possible. Some backup, update or housekeeping tasks require us to have downtime. This shouldn't last more than 15 minutes.
